Distrito,CABECERA DEL DISTRITO,MUNICIPIOS,SECCIÓN,TOTAL PADRÓN,TOTAL LISTA NOMINAL,CP,ENCUESTAS_ASIGNADAS
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,340,694,649,39552.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,159,1259,1249,39715.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,101,936,931,39300.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,151,1189,1184,39715.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,352,609,607,39931.0,10
Distrito 7,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,374,2587,2571,39991.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,351,1408,1400,39931.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,146,1797,1794,39759.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,176,1387,1377,39715.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,64,708,704,39590.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,334,2125,2109,39500.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,236,710,708,39610.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,195,837,835,39620.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,358,467,459,39931.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,278,3176,3158,,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,163,279,274,39700.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,17,981,972,39422.0,10
Distrito 8,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,4,927,925,39405.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,161,1787,1776,39660.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,56,1301,1295,,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,69,902,899,39480.0,10
Distrito 7,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,375,1151,1141,39991.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,199,1104,1100,39740.0,10
Distrito 8,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,123,2465,2449,39931.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,349,574,571,39931.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,15,822,818,39422.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,27,1780,1777,39550.0,10
Distrito 8,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,6,715,707,39412.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,383,1217,1212,,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,105,1521,1517,39390.0,10
Distrito 8,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,12,833,829,39422.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,20,1077,1067,39530.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,202,1464,1455,39988.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,364,1976,1969,39897.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,93,746,742,39300.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,25,1229,1220,39500.0,10
Distrito 7,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,2807,2327,2314,39905.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,40,965,963,,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,154,1195,1188,39715.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,62,485,481,,10
Distrito 7,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,370,1883,1864,38452.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,50,1480,1467,39460.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,186,1308,1305,39785.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,169,1214,1202,39510.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,19,2645,2637,39422.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,128,1987,1970,39700.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,257,1774,1765,,10
Distrito 23,CHILAPA DE ALVAREZ,ATENANGO DEL RIO,557,409,406,,10
Distrito 23,CHILAPA DE ALVAREZ,ATENANGO DEL RIO,553,1107,1095,,10
Distrito 23,CHILAPA DE ALVAREZ,ATENANGO DEL RIO,563,586,582,,10
Distrito 23,PUNGARABATO,BUENAVISTA DE CUELLAR,784,1072,1056,,10
Distrito 23,PUNGARABATO,BUENAVISTA DE CUELLAR,781,1819,1798,,10
Distrito 23,PUNGARABATO,BUENAVISTA DE CUELLAR,786,197,196,,10
Distrito 23,PUNGARABATO,BUENAVISTA DE CUELLAR,788,178,178,,10
Distrito 1,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1282,1017,993,,10
Distrito 2,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1299,496,491,,10
Distrito 2,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1308,637,634,,10
Distrito 1,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1231,919,915,,10
Distrito 1,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,1274,452,449,,10
Distrito 12,ZIHUATANEJO DE AZUETA,COAHUAYUTLA DE JOSE MARIA IZAZAGA,810,118,118,,10
Distrito 12,ZIHUATANEJO DE AZUETA,COAHUAYUTLA DE JOSE MARIA IZAZAGA,796,203,202,,10
Distrito 12,ZIHUATANEJO DE AZUETA,COAHUAYUTLA DE JOSE MARIA IZAZAGA,791,269,269,,10
Distrito 12,ZIHUATANEJO DE AZUETA,COAHUAYUTLA DE JOSE MARIA IZAZAGA,809,146,145,,10
Distrito 23,CHILAPA DE ALVAREZ,COPALILLO,860,424,422,,10
Distrito 23,CHILAPA DE ALVAREZ,COPALILLO,859,2630,2612,,10
Distrito 23,CHILAPA DE ALVAREZ,COPALILLO,865,480,479,,10
Distrito 23,CHILAPA DE ALVAREZ,COPALILLO,858,3618,3587,,10
Distrito 23,CHILAPA DE ALVAREZ,COPALILLO,864,444,443,,10
Distrito 23,CHILAPA DE ALVAREZ,HUITZUCO DE LOS FIGUEROA,1457,125,125,,10
Distrito 23,CHILAPA DE ALVAREZ,HUITZUCO DE LOS FIGUEROA,1465,1026,1019,,10
Distrito 23,CHILAPA DE ALVAREZ,HUITZUCO DE LOS FIGUEROA,1460,509,505,,10
Distrito 23,CHILAPA DE ALVAREZ,HUITZUCO DE LOS FIGUEROA,1471,276,275,,10
Distrito 23,CHILAPA DE ALVAREZ,HUITZUCO DE LOS FIGUEROA,1469,888,884,,10
Distrito 23,CHILAPA DE ALVAREZ,HUITZUCO DE LOS FIGUEROA,1470,229,225,,10
Distrito 23,CHILAPA DE ALVAREZ,HUITZUCO DE LOS FIGUEROA,1456,697,688,,10
Distrito 23,CHILAPA DE ALVAREZ,HUITZUCO DE LOS FIGUEROA,1463,1051,1044,,10
Distrito 23,CHILAPA DE ALVAREZ,HUITZUCO DE LOS FIGUEROA,1452,1156,1148,,10
Distrito 23,CHILAPA DE ALVAREZ,HUITZUCO DE LOS FIGUEROA,1451,887,875,,10
Distrito 23,CHILAPA DE ALVAREZ,HUITZUCO DE LOS FIGUEROA,1444,1125,1118,,10
Distrito 23,CHILAPA DE ALVAREZ,HUITZUCO DE LOS FIGUEROA,1461,150,149,,10
Distrito 23,CHILAPA DE ALVAREZ,HUITZUCO DE LOS FIGUEROA,1454,2295,2279,,10
Distrito 23,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1562,1048,1028,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1480,5812,5743,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1514,772,760,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1532,1473,1445,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1492,1809,1784,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1556,260,254,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1517,2035,2005,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1486,1624,1601,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1484,3169,3132,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1549,600,588,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1523,1052,1042,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1508,926,917,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1509,1127,1111,,10
Distrito 23,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1555,326,324,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1482,807,791,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1503,817,814,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1483,1199,1187,,10
Distrito 23,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1564,715,705,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1531,1029,1021,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1544,895,885,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1494,1838,1814,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1527,1276,1259,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1521,1070,1056,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1538,1292,1274,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1487,2060,2036,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1496,463,461,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1543,3123,3086,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1488,937,922,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1513,1238,1223,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1515,1161,1146,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1489,1000,990,,10
Distrito 23,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1561,106,106,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1535,1694,1669,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1506,601,596,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1546,2245,2219,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1553,473,469,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1497,805,796,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1522,1599,1585,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1548,361,356,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1518,1382,1358,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1519,827,813,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1510,1780,1763,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1504,692,684,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1516,3501,3462,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1542,1661,1639,,10
Distrito 22,CHILAPA DE ALVAREZ,IGUALA DE LA INDEPENDENCIA,1526,1113,1097,,10
Distrito 12,ZIHUATANEJO DE AZUETA,LA UNION DE ISIDORO MONTES DE OCA,2644,165,165,,10
Distrito 12,ZIHUATANEJO DE AZUETA,LA UNION DE ISIDORO MONTES DE OCA,2635,441,437,,10
Distrito 12,ZIHUATANEJO DE AZUETA,LA UNION DE ISIDORO MONTES DE OCA,2628,301,301,,10
Distrito 12,ZIHUATANEJO DE AZUETA,LA UNION DE ISIDORO MONTES DE OCA,2630,417,417,,10
Distrito 12,ZIHUATANEJO DE AZUETA,LA UNION DE ISIDORO MONTES DE OCA,2624,944,937,,10
Distrito 12,ZIHUATANEJO DE AZUETA,LA UNION DE ISIDORO MONTES DE OCA,2651,713,711,,10
Distrito 12,ZIHUATANEJO DE AZUETA,LA UNION DE ISIDORO MONTES DE OCA,2625,395,393,,10
Distrito 12,ZIHUATANEJO DE AZUETA,LA UNION DE ISIDORO MONTES DE OCA,2633,352,352,,10
Distrito 12,ZIHUATANEJO DE AZUETA,LA UNION DE ISIDORO MONTES DE OCA,2634,543,542,,10
Distrito 11,ZIHUATANEJO DE AZUETA,PETATLAN,1882,617,613,,10
Distrito 11,ZIHUATANEJO DE AZUETA,PETATLAN,1900,172,171,,10
Distrito 11,ZIHUATANEJO DE AZUETA,PETATLAN,1906,143,143,,10
Distrito 11,ZIHUATANEJO DE AZUETA,PETATLAN,1878,955,950,,10
Distrito 11,ZIHUATANEJO DE AZUETA,PETATLAN,1924,161,161,,10
Distrito 11,ZIHUATANEJO DE AZUETA,PETATLAN,1910,1298,1291,,10
Distrito 11,ZIHUATANEJO DE AZUETA,PETATLAN,1889,637,634,,10
Distrito 11,ZIHUATANEJO DE AZUETA,PETATLAN,1932,134,133,,10
Distrito 11,ZIHUATANEJO DE AZUETA,PETATLAN,1909,1638,1629,,10
Distrito 11,ZIHUATANEJO DE AZUETA,PETATLAN,1898,276,271,,10
Distrito 11,ZIHUATANEJO DE AZUETA,PETATLAN,1888,910,900,,10
Distrito 11,ZIHUATANEJO DE AZUETA,PETATLAN,1885,1187,1180,,10
Distrito 11,ZIHUATANEJO DE AZUETA,PETATLAN,1914,367,365,,10
Distrito 11,ZIHUATANEJO DE AZUETA,PETATLAN,1911,1277,1271,,10
Distrito 23,CHILAPA DE ALVAREZ,TEPECOACUILCO DE TRUJANO,2449,331,329,,10
Distrito 23,CHILAPA DE ALVAREZ,TEPECOACUILCO DE TRUJANO,2424,813,808,,10
Distrito 23,CHILAPA DE ALVAREZ,TEPECOACUILCO DE TRUJANO,2431,535,532,,10
Distrito 23,CHILAPA DE ALVAREZ,TEPECOACUILCO DE TRUJANO,2437,676,665,,10
Distrito 23,CHILAPA DE ALVAREZ,TEPECOACUILCO DE TRUJANO,2439,1040,1032,,10
Distrito 23,CHILAPA DE ALVAREZ,TEPECOACUILCO DE TRUJANO,2425,1035,1027,,10
Distrito 23,CHILAPA DE ALVAREZ,TEPECOACUILCO DE TRUJANO,2432,258,253,,10
Distrito 23,CHILAPA DE ALVAREZ,TEPECOACUILCO DE TRUJANO,2440,408,405,,10
Distrito 23,CHILAPA DE ALVAREZ,TEPECOACUILCO DE TRUJANO,2445,893,890,,10
Distrito 23,CHILAPA DE ALVAREZ,TEPECOACUILCO DE TRUJANO,2423,1704,1689,,10
Distrito 23,CHILAPA DE ALVAREZ,TEPECOACUILCO DE TRUJANO,2446,1215,1204,,10
Distrito 12,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1622,335,333,,10
Distrito 12,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1624,526,520,,10
Distrito 11,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1616,4319,4283,,10
Distrito 12,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1640,1280,1269,,10
Distrito 11,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1635,1927,1911,,10
Distrito 12,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1595,2134,2118,,10
Distrito 11,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1628,1170,1159,,10
Distrito 11,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1652,1512,1504,,10
Distrito 11,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1631,339,336,,10
Distrito 12,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1591,404,399,,10
Distrito 12,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1608,575,572,,10
Distrito 11,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1614,1759,1746,,10
Distrito 12,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1644,1614,1591,,10
Distrito 11,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1645,1482,1471,,10
Distrito 12,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1594,2370,2352,,10
Distrito 12,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1597,893,891,,10
Distrito 11,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1646,2354,2338,,10
Distrito 11,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1649,1102,1094,,10
Distrito 12,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1600,913,906,,10
Distrito 11,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1613,1835,1819,,10
Distrito 11,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1648,1856,1841,,10
Distrito 12,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1641,2503,2485,,10
Distrito 11,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1615,1981,1967,,10
Distrito 12,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1606,1103,1088,,10
Distrito 11,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1629,729,721,,10
Distrito 12,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1601,671,664,,10
Distrito 12,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1610,1319,1304,,10
Distrito 12,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1605,580,575,,10
Distrito 12,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1589,2616,2592,,10
Distrito 12,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1609,2791,2775,,10
Distrito 12,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,2798,516,514,,10
Distrito 12,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1604,499,496,,10
Distrito 11,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1612,1318,1309,,10
Distrito 11,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1627,229,228,,10
Distrito 11,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1637,248,245,,10
Distrito 11,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1633,353,351,,10
Distrito 12,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1620,1125,1116,,10
Distrito 11,ZIHUATANEJO DE AZUETA,ZIHUATANEJO DE AZUETA,1603,1605,1596,,10
